Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Urban population,SP.URB.TOTL,Low income,LIC,71261796,105639575,160012176,165498623,171129100,177041637,183627755,190583919,197912695,205654431,213843158,222498077
Urban population,SP.URB.TOTL,Lower middle income,LMC,611595946,824129430,1117815143,1148006345,1178911702,1210443126,1242703179,1275589263,1309111469,1343321806,1378166280,1413633256
Urban population,SP.URB.TOTL,Middle East & North Africa,MEA,139666916,184767856,248191695,254607763,261044559,267471774,274105309,280634584,287077018,293504358,299961065,306485571
Urban population,SP.URB.TOTL,Middle East & North Africa (excluding high income),MNA,117128569,154851692,201059836,205748130,210563828,215441856,220575123,225664160,230739572,235866859,241087171,246442894
Urban population,SP.URB.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,115789117,152748648,198171632,202778295,207511882,212307092,217356840,222361419,227358642,232386860,237505723,242757874
Urban population,SP.URB.TOTL,Middle income,MIC,1438985194,1902591113,2533172415,2596273732,2660436323,2725299815,2790565124,2856457873,2923145131,2988849348,3053550888,3116783397
Urban population,SP.URB.TOTL,North America,NAC,209231872,247519374,280120518,282845297,285498217,288277446,291027807,293894567,296582186,299083080,301433350,303426490
Urban population,SP.URB.TOTL,Not classified,INX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Urban population,SP.URB.TOTL,OECD members,OED,808683317,907951690,1028740085,1037704065,1046925416,1056485126,1066089237,1075887670,1085306440,1094490955,1102880496,1110609306
Urban population,SP.URB.TOTL,Other small states,OSS,7915684,10421091,15521571,16040237,16537056,17034204,17541694,18056013,18579119,19107844,19631283,20142999
Urban population,SP.URB.TOTL,Pacific island small states,PSS,533902,677908,831892,846959,861867,877394,894031,911922,930931,950975,971682,992816
Urban population,SP.URB.TOTL,Post-demographic dividend,PST,714068901,780372719,862954533,868454820,874089276,879909131,885744062,891612807,896908200,902008252,906540165,910553350
Urban population,SP.URB.TOTL,Pre-demographic dividend,PRE,117638414,176591437,281911309,294423082,307462594,320962176,334869045,349167730,363894614,379075206,394746859,410942450
Urban population,SP.URB.TOTL,Small states,SST,11381940,14371896,19896692,20460153,21002707,21547105,22103488,22668512,23243939,23826541,24405056,24972795
Urban population,SP.URB.TOTL,South Asia,SAS,284108531,380859153,518130416,531400431,544896119,558661741,572716485,587083474,601765617,616775937,632092773,647723163
Urban population,SP.URB.TOTL,South Asia (IDA & IBRD),TSA,284108531,380859153,518130416,531400431,544896119,558661741,572716485,587083474,601765617,616775937,632092773,647723163
Urban population,SP.URB.TOTL,Sub-Saharan Africa,SSF,139406828,208604476,326174677,339899908,354121289,368873313,384158126,399975528,416335563,433237352,450673306,468643630
Urban population,SP.URB.TOTL,Sub-Saharan Africa (excluding high income),SSA,139372582,208563559,326127704,339852118,354072234,368823094,384106372,399922669,416281641,433182497,450617544,468586969
Urban population,SP.URB.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,139406828,208604476,326174677,339899908,354121289,368873313,384158126,399975528,416335563,433237352,450673306,468643630
Urban population,SP.URB.TOTL,Upper middle income,UMC,827389248,1078461683,1415357272,1448267387,1481524621,1514856689,1547861945,1580868610,1614033662,1645527542,1675384608,1703150141
Urban population,SP.URB.TOTL,World,WLD,2271130944,2853928243,3648273263,3724773727,3802446099,3881124742,3960624201,4040915561,4121601094,4201371130,4280190216,4357623759
